"id","name","creation_date"
"33f68b54-d867-450c-8755-1bb473f2ead2","GAAAI - Round Rock","2021-08-10 23:07:23.540181+00"
"2e29d4da-ecbc-41ae-8538-83a414ff59b9","GAAAI - Corpus Christi Allergy","2021-08-10 23:07:23.540181+00"
"2b993680-0c9e-4cc5-af5c-76b0a5ede691","(ARCHIVE)-AAN-sschoessler","2021-08-10 23:07:23.540181+00"
"256fefc6-ed78-4b6f-8132-7d604bc76b83","WellTrackOne","2021-08-10 23:07:23.540181+00"
"247741ce-c46e-420c-a3c3-cb54267355e8","(ARCHIVE)-NOML-TCONYERS","2021-08-10 23:07:23.540181+00"
"23cc2ba2-4409-4cc1-8243-749ec06b524a","NYU-Demo","2021-08-10 23:07:23.540181+00"
"20974f29-8623-4d9c-aa67-2b3640693c93","(ARCHIVE)-AAN-mhart1","2021-08-10 23:07:23.540181+00"
"b01752fd-4dae-4f70-ad9e-28792b0cf100","(ARCHIVE)-AAN-dluneau","2021-08-10 23:07:23.540181+00"
"1b010a10-8c16-44fd-8590-0b51ecd3bd3f","(ARCHIVE)-AAN-svita1","2021-08-10 23:07:23.540181+00"
"1af265c6-6b76-44a5-8f1a-16d3ec130ba9","PrivateMedical - KGlinder","2021-08-10 23:07:23.540181+00"
"1710cc72-ca9d-440e-819f-326e96962fce","(DEV) - APITest","2021-08-10 23:07:23.540181+00"
"1674f6eb-d651-458d-b66a-7354d922013f","Anytime Pediatrics Telemedicine","2021-08-10 23:07:23.540181+00"
"14cd2aac-983f-4bf9-b708-d3467b2738da","(ARCHIVE)-AAN-kprather","2021-08-10 23:07:23.540181+00"
"1041e5c4-fac5-47fd-8867-39470d6c7d82","Cincinnati Children's Hospital Medical Center","2021-08-10 23:07:23.540181+00"
"14c253db-e4fc-40c9-b9a4-cc8d0d6e3384","(ARCHIVE)-AAN-vkondziolka","2021-08-10 23:07:23.540181+00"
"0c75e71e-c0ea-4317-ac44-01d5d609e6d5","(ARCHIVE)-AAN-mdasilva","2021-08-10 23:07:23.540181+00"
"04d349d6-38d6-4796-ab4c-d9e84a19fe94","Wakemed Post Covid19 Rehab","2021-08-10 23:07:23.540181+00"
"01e88ba7-bed0-421c-8707-58bb64ad2e20","(ARCHIVE)-AAN-mpapazis","2021-08-10 23:07:23.540181+00"
"ec55e13e-edff-4861-989a-017f08b7f049","(DEV)-AllUp","2021-08-10 23:07:23.540181+00"
"feb2aba2-db28-4b94-8b9e-f93b204ae99a","(DEV)-Ethan-Local","2021-08-10 23:07:23.540181+00"
"f8c8c8e4-668b-4808-b137-48acf8d28378","(ARCHIVE)-AAN-rhertwig","2021-08-10 23:07:23.540181+00"
"e0a16d8c-3b12-44b9-8c51-1f42f5b08dc1","(ARCHIVE)-RXVIP-Nicole Leimbach","2021-08-10 23:07:23.540181+00"
"c7be1006-5c5f-419c-bd8b-3769cd9e2773","CareXM","2021-08-10 23:07:23.540181+00"
"a1380cf6-90b0-42f9-9722-0333c977c800","Wellnome RPM Platform","2021-08-10 23:07:23.540181+00"
"5a5f24be-f78f-45b9-b428-e9c2d9e98dba","United Allergy Services","2021-08-24 19:05:08.444038+00"
"3c6315cf-8efe-4003-a326-47b8b61673c4","Hubert-Group","2021-08-10 23:07:23.540181+00"
"34981a17-f903-40d1-86df-a9e02320cfe8","Allergy Partners","2021-08-10 23:07:23.540181+00"
"31208244-c02d-4e38-bb96-09f2660cb8d9","(ARCHIVE)-NOML-GHiggins","2021-08-10 23:07:23.540181+00"
"20e9c0af-3fb7-4223-863c-2bcbf4e72ceb","(DEMO)-Compound VC","2021-08-10 23:07:23.540181+00"
